코스명,산이름,유형설명,최고고도_m,누적상승_m,편도거리_km,총거리_km,예상시간_분,예상시간,출발_lat,출발_lon,도착_lat,도착_lon,난이도,세부난이도,난이도점수,관광인프라점수,주차장_접근성점수,정류장_접근성점수,코스수,가중치,매력종합점수,전망,힐링,사진,등산로,성취감,계절매력,특출매력,특출점수,주차장거리_m,정류장거리_m,위치,주차장명,정류장명,Cluster
가리산_01,가리산,편도_하산,929.7,651.832,3.27,6.55,196,3시간 16분,37.864537,127.983319,37.879128,127.967446,초급,초급2,158.33,3.7,10,8.0,2,0.7071067811865475,7.3,7.8,7.3,7.5,6.9,7.1,7.2,전망,7.8,103.0,471.0,강원도 홍천군,가리산자연휴양림 주차장,가리산휴양림,3
가리산_02,가리산,등하산_횡단,1037.4,759.988,6.47,6.47,205,3시간 25분,37.864428,127.984191,37.868292,127.971856,초급,초급3,169.91,3.5,10,8.0,2,0.7071067811865475,7.3,7.8,7.3,7.5,6.9,7.1,7.2,전망,7.8,25.0,409.4,강원도 홍천군,가리산자연휴양림 주차장,가리산휴양림,3
가리왕산_01,가리왕산,등하산_횡단,1596.6,1160.5760000000002,9.79,9.79,321,5시간 21분,37.487309,128.583265,37.426318,128.57036,상급,상급2,258.28,3.8,0,10.0,2,0.7071067811865475,7.2,7.4,7.5,7.2,6.0,7.2,8.0,계절매력,8.0,,7.9,강원도 정선군,,장구목이,4
가리왕산_02,가리왕산,등하산_횡단,1590.0,951.128,6.68,6.68,202,3시간 22분,37.466601,128.53833,37.463691,128.523798,중급,중급3,241.42,2.3,0,0.0,2,0.7071067811865475,7.2,7.4,7.5,7.2,6.0,7.2,8.0,계절매력,8.0,,8421.8,강원도 정선군,,대화버스터미널,5
가야산_01,가야산,편도_등산,1416.9,1483.014,4.99,9.99,372,6시간 12분,35.793714,128.094273,35.822969,128.120127,최상급,최상급2,368.66,5.3,10,8.0,5,0.4472135954999579,7.7,8.4,7.4,7.7,6.9,7.8,8.0,전망,8.4,94.0,499.3,경상남도 합천군,해인사 성보박물관 주차장,해인사,2
가야산_02,가야산,편도_등산,1073.3,925.234,2.25,4.5,206,3시간 26분,35.770004,128.113924,35.772791,128.095718,중급,중급1,195.44,5.5,10,2.0,5,0.4472135954999579,7.7,8.4,7.4,7.7,6.9,7.8,8.0,전망,8.4,17.0,1382.3,경상남도 합천군,가야산국립공원 주차장,구원1구,2
가야산_03,가야산,등하산_원점회귀,1180.3,1291.4110000000005,6.19,6.19,280,4시간 40분,35.801376,128.142292,35.804106,128.141577,상급,상급2,270.8,5.4,10,10.0,5,0.4472135954999579,7.7,8.4,7.4,7.7,6.9,7.8,8.0,전망,8.4,63.0,111.2,경상남도 합천군,가야산국립공원 백운동주차장,국민호텔,2
가야산_04,가야산,편도_등산,1076.0,989.7670000000002,2.86,5.72,234,3시간 54분,35.789511,128.086889,35.772731,128.095699,중급,중급3,227.9,5.1,10,10.0,5,0.4472135954999579,7.7,8.4,7.4,7.7,6.9,7.8,8.0,전망,8.4,20.0,348.0,경상남도 합천군,돼지골주차장,해인사,2
가야산_05,가야산,편도_등산,1448.3,1336.1380000000006,4.42,8.83,333,5시간 33분,35.800998,128.141953,35.823091,128.120899,최상급,최상급1,328.99,5.3,10,10.0,5,0.4472135954999579,7.7,8.4,7.4,7.7,6.9,7.8,8.0,전망,8.4,15.0,61.6,경상남도 합천군,가야산국립공원 백운동주차장,국민호텔,2
가지산_01,가지산,등하산_원점회귀,1269.7,931.5050000000002,9.04,9.04,272,4시간 32분,35.617687,129.039315,35.618023,129.039333,중급,중급2,222.35,5.7,10,10.0,4,0.5,7.4,8.1,7.2,7.5,6.4,7.4,8.2,계절매력,8.2,61.0,9.7,울산광역시 울주군,주차장,석남사,0
가지산_02,가지산,등하산_횡단,1271.1,798.1130000000003,14.03,14.03,352,5시간 52분,35.579245,129.028058,35.617981,129.039735,중급,중급2,213.67,5.6,10,10.0,4,0.5,7.4,8.1,7.2,7.5,6.4,7.4,8.2,계절매력,8.2,152.0,5.3,울산광역시 울주군,배내1공영주차장,배내정상,0
가지산_03,가지산,등하산_원점회귀,1274.1,984.7399999999998,12.59,12.59,334,5시간 34분,35.585741,128.995592,35.586122,128.996447,상급,상급2,269.8,5.4,10,5.0,4,0.5,7.4,8.1,7.2,7.5,6.4,7.4,8.2,계절매력,8.2,20.0,1195.9,울산광역시 울주군,호박소유원지 주차장,얼음골종점,0
가지산_04,가지산,등하산_횡단,1269.8,978.2919999999998,11.83,11.83,328,5시간 28분,35.667478,129.002535,35.620751,129.034576,상급,상급2,260.67,5.6,10,10.0,4,0.5,7.4,8.1,7.2,7.5,6.4,7.4,8.2,계절매력,8.2,176.0,1.5,울산광역시 울주군,배너미오토캠핑장 주차장,삼계리,0
감악산_01,감악산,등하산_원점회귀,699.0,740.0,5.5,5.5,189,3시간 09분,37.936916,126.946248,37.938024,126.950055,중급,중급1,193.23,5.2,10,10.0,9,0.3333333333333333,7.1,7.7,7.0,7.7,6.4,6.9,7.0,전망,7.7,167.0,14.1,경기도 파주시,감악산출렁다리 주차장,범륜사,3
감악산_02,감악산,등하산_원점회귀,693.0,753.0,8.7,8.7,243,4시간 03분,37.922971,126.998702,37.921491,126.995151,중급,중급1,196.12,5.6,8,10.0,9,0.3333333333333333,7.1,7.7,7.0,7.7,6.4,6.9,7.0,전망,7.7,774.0,11.9,경기도 파주시,봉암지주차장,조소앙선생기념관입구,3
감악산_03,감악산,등하산_원점회귀,688.0,923.0,11.06,11.06,304,5시간 04분,37.905659,126.962918,37.909954,126.965363,상급,상급1,244.82,5.6,2,10.0,9,0.3333333333333333,7.1,7.7,7.0,7.7,6.4,6.9,7.0,전망,7.7,1406.0,25.1,경기도 파주시,남면공영주차장,신암삼거리,5
감악산_04,감악산,등하산_횡단,692.0,727.0,7.54,7.54,220,3시간 40분,37.969506,126.951917,37.959643,126.957299,중급,중급1,179.4,5.4,0,10.0,9,0.3333333333333333,7.1,7.7,7.0,7.7,6.4,6.9,7.0,전망,7.7,,8.8,경기도 파주시,,객현1리마을회관,5
감악산_05,감악산,등하산_원점회귀,606.0,697.0,7.55,7.55,218,3시간 38분,37.9115,126.964985,37.91061,126.964949,초급,초급3,175.77,5.7,2,10.0,9,0.3333333333333333,7.1,7.7,7.0,7.7,6.4,6.9,7.0,전망,7.7,1820.0,122.4,경기도 파주시,남면공영주차장,신암저수지.감악산주차장,5
감악산_06,감악산,등하산_원점회귀,680.0,805.0,8.28,8.28,243,4시간 03분,37.941626,127.003043,37.933324,127.001104,중급,중급1,197.82,5.4,0,10.0,9,0.3333333333333333,7.1,7.7,7.0,7.7,6.4,6.9,7.0,전망,7.7,,10.6,경기도 파주시,,순박골.늘목1리,5
감악산_07,감악산,등하산_원점회귀,670.0,790.0,6.53,6.53,217,3시간 37분,37.944933,126.941638,37.943349,126.944857,초급,초급3,174.03,5.5,8,10.0,9,0.3333333333333333,7.1,7.7,7.0,7.7,6.4,6.9,7.0,전망,7.7,607.0,17.3,경기도 파주시,감악산 제2공영주차장,비룡교육대입구,3
감악산_08,감악산,등하산_횡단,363.5,433.579,6.09,6.09,155,2시간 35분,37.936975,126.944425,37.910762,126.964708,입문,입문,103.76,5.5,10,10.0,9,0.3333333333333333,7.1,7.7,7.0,7.7,6.4,6.9,7.0,전망,7.7,60.0,142.1,경기도 파주시,감악산출렁다리 주차장,범륜사,3
감악산_09,감악산,등하산_횡단,322.3,465.9680000000001,5.45,5.45,154,2시간 34분,37.938846,126.944711,37.959591,126.957349,초급,초급1,122.11,5.4,10,10.0,9,0.3333333333333333,7.1,7.7,7.0,7.7,6.4,6.9,7.0,전망,7.7,85.0,79.9,경기도 파주시,감악산 제5공영주차장,감악산출렁다리입구,3
강천산_01,강천산,등하산_횡단,608.3,639.3929999999998,6.63,6.63,192,3시간 12분,35.40894,127.067686,35.399837,127.056868,초급,초급2,157.76,5.0,10,10.0,5,0.4472135954999579,7.3,7.6,7.6,7.2,6.9,6.9,8.0,계절매력,8.0,48.0,242.6,전라북도 순창군,강천산 주차장,강천산임시치안센터,4
강천산_02,강천산,등하산_원점회귀,517.5,707.2679999999998,7.3,7.3,217,3시간 37분,35.408708,127.066815,35.407401,127.065399,초급,초급3,174.11,4.9,10,10.0,5,0.4472135954999579,7.3,7.6,7.6,7.2,6.9,6.9,8.0,계절매력,8.0,123.0,324.9,전라북도 순창군,강천산 주차장,강천산임시치안센터,4
강천산_03,강천산,등하산_횡단,648.8,789.1900000000005,10.83,10.83,278,4시간 38분,35.408916,127.067301,35.396426,127.054238,중급,중급1,186.68,5.0,10,10.0,5,0.4472135954999579,7.3,7.6,7.6,7.2,6.9,6.9,8.0,계절매력,8.0,81.0,277.5,전라북도 순창군,강천산 주차장,강천산임시치안센터,4
강천산_04,강천산,등하산_원점회귀,596.8,949.9799999999992,10.98,10.98,306,5시간 06분,35.408929,127.067397,35.405645,127.06197,상급,상급1,247.47,4.9,10,10.0,5,0.4472135954999579,7.3,7.6,7.6,7.2,6.9,6.9,8.0,계절매력,8.0,73.0,268.7,전라북도 순창군,강천산 주차장,강천산임시치안센터,4
