,mountain_name,mountain_name_en,description
0,가리산,Gari-san,"연리목과 큰바위얼굴이 유명하며, 정상에서 소양호와 강원도 산맥 조망이 탁월하고 울창한 숲길과 계곡이 아름다워 사계절 힐링 산행지로 인기"
1,가리왕산,Gariwang-san,"이끼계곡과 원시림이 장관이며 운해와 주목군락지가 유명하고, 2018 동계올림픽 알파인 경기장으로 알려진 강원도의 청정 명산"
2,가야산,Gaya-san,"해인사 팔만대장경의 불교 성지이며 만물상 암릉과 기암괴석이 압권이고, 가을 단풍과 홍류동 계곡이 절경을 이루는 영남의 명산"
3,가지산,Gaji-san,"영남알프스 주봉으로 억새평원과 석남사 계곡이 유명하며, 정상 조망이 탁월하고 가을 억새 물결이 장관을 이루는 산악인들의 명산"
4,감악산,Gamak-san,"출렁다리와 적성산성이 유명하며 임진강과 파주 평야 조망이 뛰어나고, 등산로가 잘 정비되어 가족 산행지로 적합한 경기북부 명산"
5,강천산,Gangcheon-san,"병풍바위와 구장군폭포, Y자형 출렁다리가 명물이며 단풍 절경과 계곡 비경이 아름다워 '호남의 소금강'으로 불리는 명산"
6,계룡산,Gyeryong-san,"동학사와 갑사 등 고찰이 많은 불교 성지로, 천황봉 연천봉의 기암괴석과 가을 단풍이 아름다우며 등산로가 잘 정비된 충청 명산"
7,계방산,Gyebang-san,"남한 4위 고봉(1577m)으로 주목 군락지와 원시림이 보존되어 있으며, 겨울 상고대와 눈꽃 설경이 장관인 강원도 청정 산악지역"
8,공작산,Gongjak-san,"공작폭포와 억새 능선이 아름다우며, 울창한 숲길과 계곡물소리가 힐링을 주고 완만한 산행로로 가족 산행에 적합한 홍천 명산"
9,관악산,Gwanak-san,"서울 남부의 진산으로 연주대 바위와 연주암 등 사찰이 많으며, 정상 조망이 탁월하고 도심 속 접근성이 좋아 시민들이 즐겨 찾는 명산"
10,구병산,Gubyeong-san,"아홉 봉우리가 병풍처럼 연이어 솟아 있으며, 속리산 문장대와 연계된 조망이 뛰어나고 가을 단풍이 아름다운 충북의 숨은 명산"
11,금산,Geum-san,"남해 최고봉으로 이순신 장군 전설이 서린 곳이며, 보리암 성지와 남해 바다·섬 조망이 탁월하고 해풍 맞은 철쭉이 유명한 해안 명산"
12,금수산,Geumsu-san,"금수산 자연휴양림과 능강계곡이 유명하며, 깊은 계곡과 기암괴석이 빼어나고 가을 단풍이 아름다워 월악산과 함께 충북 명산으로 손꼽힘"
13,금오산,Geumo-san,"도선국사가 창건한 대혜폭포와 약사암 마애불이 유명하며, 케이블카로 접근 가능하고 기암괴석과 철쭉이 아름다운 구미의 진산"
14,금정산,Geumjeong-san,"범어사가 자리한 부산의 진산으로, 금정산성 둘레길과 고당봉 조망이 뛰어나며 등산로가 잘 정비되어 부산 시민들이 즐겨 찾는 명산"
15,깃대봉,Gitdae-bong,"신안 홍도 최고봉으로 다도해 해상국립공원의 절경과 기암괴석이 장관이며, 섬산의 매력과 서해 바다 조망이 탁월한 비경"
16,남산,Nam-san,"경주 시내를 품은 노천박물관으로, 신라 불상과 석탑 등 불교 유적이 산재해 있으며 천년 역사를 느낄 수 있는 문화유산의 산"
